# Revision 1.0,13-Feb-14,Initial release,,,,,,,,,,
# Revision 1.1,14-May-14,"Added csfBGA256, csfBGA324, caBGA324, caBGA400 packages",,,,,,,,,,
# Revision 1.2,12-Sep-14,New csfBGA pinouts,,,,,,,,,,
,,,,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,,I/O Grouping,CABGA256,CABGA400,CABGA324,CSFBGA324,CSFBGA256
1,NC,-,-,-,-,,+,-,-,-,-,-
2,PL2A,5,-,True_OF_PL2B,-,,+,-,C4,B1,G12,-
3,GND,-,-,-,-,,-,-,-,-,-,-
4,PL2B,5,-,Comp_OF_PL2A,-,,-,-,C3,C2,C17,-
5,PL2C,5,-,True_OF_PL2D,-,,-,B1,F6,D3,C16,D13
6,VCCIO5,5,-,-,-,,-,-,-,-,-,-
7,PL2D,5,-,Comp_OF_PL2C,-,,-,C2,G6,C1,D15,C14
8,PL3A,5,L_GPLLT_FB,True_OF_PL3B,-,,-,D3,C2,E4,B18,B15
9,GND,-,-,-,-,,+,-,-,-,-,-
10,PL3B,5,L_GPLLC_FB,Comp_OF_PL3A,-,,+,D1,C1,F4,C18,B16
11,PL3C,5,-,True_OF_PL3D,-,,+,-,E4,E3,D16,-
12,VCC,-,-,-,-,,+,-,-,-,-,-
13,PL3D,5,-,Comp_OF_PL3C,-,,+,-,E3,F5,E14,-
14,PL4A,5,L_GPLLT_IN,True_OF_PL4B,-,,+,E2,D2,D2,D18,C15
15,NC,-,-,-,-,,+,-,-,-,-,-
16,PL4B,5,L_GPLLC_IN,Comp_OF_PL4A,-,,+,E3,D1,G5,D17,C16
17,PL4C,5,-,True_OF_PL4D,-,,+,C1,F5,F3,E16,D14
18,VCCIO5,5,-,-,-,,+,-,-,-,-,-
19,PL4D,5,-,Comp_OF_PL4C,-,,+,D2,G5,D1,E15,E13
20,PL5A,5,-,True_OF_PL5B,-,,+,-,F4,E2,E18,-
21,NC,-,-,-,-,,+,-,-,-,-,-
22,PL5B,5,-,Comp_OF_PL5A,-,,+,-,F3,E1,E17,-
23,PL5C,5,-,True_OF_PL5D,-,,+,-,H6,F2,F15,-
24,GND,-,-,-,-,,-,-,-,-,-,-
25,PL5D,5,-,Comp_OF_PL5C,-,,-,-,H7,H5,F14,-
26,PL6A,5,PCLKT5_0,True_OF_PL6B,-,,-,E1,E2,G4,F18,D15
27,VCCIO5,5,-,-,-,,-,-,-,-,-,-
28,PL6B,5,PCLKC5_0,Comp_OF_PL6A,-,,-,F2,E1,G3,F17,D16
29,PL6C,5,-,True_OF_PL6D,-,,-,F4,F2,F1,F16,F13
30,GND,-,-,-,-,,+,-,-,-,-,-
31,PL6D,5,-,Comp_OF_PL6C,-,,+,G6,F1,G6,G14,F12
32,PL7A,5,-,True_OF_PL7B,-,,+,-,G4,-,-,-
33,GND,-,-,-,-,,-,-,-,-,-,-
34,PL7B,5,-,Comp_OF_PL7A,-,,-,-,G3,-,-,-
